community_id,variable,label
1,P35,P35 Actualmente se habla mucho sobre “inteligencia artificial” como un tipo de tecnología que está c...
1,P6_1,P6_1 Nivel de interés en Deportes
1,P6_2,P6_2 Nivel de interés en Política
1,P6_3,P6_3 Nivel de interés en Economía
1,P6_5,P6_5 Nivel de interés en Ciencia y tecnología
1,P6_6,P6_6 Nivel de interés en Medicina y salud
1,P6_7,P6_7 Nivel de interés en Arte y cultura
1,P6_8,P6_8 Nivel de interés en Astrología y esoterismo
1,P6_9,P6_9 Nivel de interés en Medioambiente y ecología
1,P7_1,P7_1 Nivel de información en Deportes
1,P7_2,P7_2 Nivel de información en Política
1,P7_3,P7_3 Nivel de información en Economía
1,P7_5,P7_5 Nivel de información en Ciencia y tecnología
1,P7_6,P7_6 Nivel de información en Medicina y salud
1,P7_7,P7_7 Nivel de información en Arte y cultura
1,P7_8,P7_8 Nivel de información en Astrología y esoterismo
1,P7_9,P7_9 Nivel de información en Medioambiente y ecología
1,P9_1,"P9_1 Mira programas o documentales de TV sobre ciencia, tecnología o naturaleza"
1,P9_2,P9_2 Lee las noticias científicas que se publican en los diarios
1,P9_3,P9_3 Escucha programas o secciones de radio que tratan sobre temas de ciencia y tecnología
1,P9_4,P9_4 Lee revistas de divulgación científica
1,P9_5,P9_5 Lee libros de divulgación científica
1,P9_6,P9_6 Usa Internet para buscar información científica
1,P9_7,P9_7 Usa las redes sociales para compartir o informarse sobre temas científicos . Sí selecciono la o...
2,P26_1,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.
2,P26_3,"P26_3 La ciencia y la tecnología van a ayudar a curar enfermedades como el Sida, el cáncer, etcétera..."
2,P26_5,P26_5 El desarrollo científico-tecnológico ayudará a disminuir las desigualdades sociales.
2,P26_7,P26_7 Si una nueva tecnología ofrece beneficios debería ser utilizada aunque no conozcamos todas las...
2,P26_9,P26_9 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.
2,P30_1,P30_1 Gracias a la ciencia y la tecnología nuestros hijos van a tener más oportunidades.
2,P30_2,P30_2 La ciencia hace que nuestro modo de vida cambie demasiado rápido.
2,P30_3,P30_3 La ciencia y la tecnología eliminarán la pobreza y el hambre en el mundo.
2,P30_4,P30_4 Los beneficios de la ciencia y la tecnología son mayores que los perjuicios que puedan ocasion...
2,P30_6,P30_6 Gracias a la ciencia y la tecnología los recursos del planeta no se extinguirán nunca.
2,P30_7,P30_7 La ciencia y la tecnología contribuyen a mejorar el medio ambiente.
2,P30_8,P30_8 La ciencia y la tecnología pueden resolver cualquier tipo de problemas.
2,P36,"P36 ¿Cree que la “inteligencia artificial” tendrá efectos muy positivos, positivos, negativos, o muy..."
2,P37_1,P37_1 Nivel de acuerdo con que la IA Resolverá complejos problemas sociales
2,P37_10,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad
2,P37_13,P37_13 Nivel de acuerdo con que la IA Nos ayudará a cuidar mejor nuestra salud
2,P37_15,P37_15 Nivel de acuerdo con que la IA Nos ayuda a tomar mejores decisiones
2,P37_3,P37_3 Nivel de acuerdo con que la IA Favorece el desarrollo de la economía
2,P37_4,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida
2,P37_6,P37_6 Nivel de acuerdo con que la IA Será una buena compañía para nuestra vida cotidiana
2,P37_7,P37_7 Nivel de acuerdo con que la IA Ayudará a crear más empleos
3,P4_1,P4_1 Destaque de Perú en Deportes
3,P4_10,P4_10 Destaque de Perú en Turismo
3,P4_11,P4_11 Destaque de Perú en Medioambiente
3,P4_12,P4_12 Destaque de Perú en Energía
3,P4_13,P4_13 Destaque de Perú en Obras públicas
3,P4_14,P4_14 Destaque de Perú en Vivienda
3,P4_2,P4_2 Destaque de Perú en Desarrollo de la industria
3,P4_3,P4_3 Destaque de Perú en Agricultura y ganadería
3,P4_4,P4_4 Destaque de Perú en Minería
3,P4_5,P4_5 Destaque de Perú en Salud
3,P4_6,P4_6 Destaque de Perú en Desarrollo de tecnologías
3,P4_7,P4_7 Destaque de Perú en Arte y cultura
3,P4_8,P4_8 Destaque de Perú en Investigación científica
3,P4_9,P4_9 Destaque de Perú en Educación
4,P11,P11 Qué tan atractiva diría que es la profesión de Científico
4,P12,P12 Qué tan gratificante diría que es la profesión de Científico
