,P1_1,P1_2,P1_3,P1_4,P2,P3_1,P3_2,P3_3,P3_4,P3_5,P3_6,P3_7,P3_8,P3_9,P3_10,P4_1,P4_2,P4_3,P4_4,P4_5,P4_6,P4_7,P4_8,P4_9,P4_10,P4_11,P4_12,P4_13,P4_14,P5_1,P5_2,P5_3,P5_4,P5_5,P5_6,P6_1,P6_2,P6_3,P6_4,P6_5,P6_6,P6_7,P6_8,P6_9,P7_1,P7_2,P7_3,P7_4,P7_5,P7_6,P7_7,P7_8,P7_9,P9_1,P9_2,P9_3,P9_4,P9_5,P9_6,P9_7,P11,P12,P13,P14,P15,P18,P19,P22,P24_1,P24_2,P24_3,P24_4,P24_5,P25,P26_1,P26_2,P26_3,P26_4,P26_5,P26_6,P26_7,P26_8,P26_9,P30_1,P30_2,P30_3,P30_4,P30_5,P30_6,P30_7,P30_8,P30_9,P31,P35,P36,P37_1,P37_2,P37_3,P37_4,P37_5,P37_6,P37_7,P37_8,P37_9,P37_10,P37_11,P37_12,P37_13,P37_14,P37_15,P37_16
P1_1,1.0,0.4957111733784237,0.46313170217406496,0.49920226081281366,0.2598342594165542,0.16659585861336776,0.21843190660611495,0.1406393458294406,0.11600747451269809,0.1419035066859609,0.13852107218439427,0.120112951760453,0.1458733836213133,0.12473601313678258,0.16535842054060243,0.18895046334384524,0.24515744593165953,0.2231360370951872,0.24553796566057415,0.2362055137729197,0.2566272850109002,0.23658512745091215,0.24129721088133801,0.2256813883291281,0.17198232442548472,0.2795274577391535,0.24743590903321486,0.2710680573350768,0.23282145394934264,0.006859915246176915,0.0658345101497916,0.03703355314742672,0.07561092948926959,0.10733938382677004,0.06896555990665995,0.09996990828270143,0.14084880987968584,0.11148597675701746,0.09518714084750633,0.16244700596750627,0.08609997611524059,0.13714089374745847,0.17616373301357474,0.10767072927421407,0.13696530443736782,0.06938285729445107,0.12993111864984616,0.09475206374554944,0.16290331852341833,0.08387688286979587,0.13065544594304676,0.1807679776787722,0.1497168019601743,0.055653578104904365,0.12047833356936917,0.07030647289040336,0.10416740582571352,0.10334236851825987,0.08087979271718163,0.0839138328712147,0.0635792166864892,0.07323496751997706,0.1412084586056566,0.07628047411362275,-0.024088878552854687,0.15234698320036355,0.022531831074792348,0.2212719417407735,0.19747842317386513,0.1891806817161231,0.17232336186093852,0.14653277837524156,0.1582947431295734,0.17892413028257648,0.057391627382525415,0.04854865769830441,0.03094841509018901,0.027632715471938966,0.07806244464953743,-0.007595447569588384,0.07037504425864617,-0.05432539265061514,0.024886093160746338,0.02157132628421508,0.00668654314219754,0.08347387005806117,-0.036475747766644605,-0.0248531614983756,0.07043790797680587,0.05451996055342781,0.033206404543584936,-0.026078481610009637,0.021057597199641183,0.13595639634571566,0.08369631300457911,0.08086658542196708,-0.016120380408080552,0.02490780756381692,0.03338532689698888,-0.006299005863493796,0.05209627900381972,0.07083259688706475,-0.0032315673479785378,-0.028730283732608865,0.07400282095125206,-0.0700721072791456,-0.041962914110794045,0.03312863235206576,-0.04439478764011208,0.022728159894101502,-0.05237595397032433
P1_2,0.4957111733784237,1.0,0.41387869084987666,0.4427083088236149,0.27882964617872563,0.1817780479687971,0.22921330596237283,0.11292103590277323,0.1706818078053607,0.11978897847029199,0.1504974878077703,0.09835429223403289,0.14904396027474293,0.13070085393940747,0.16865459483790352,0.18051016203898496,0.2248929837191243,0.18997059009674633,0.20701400360442293,0.20781769470959718,0.19586476382531245,0.20001011740961686,0.19968217235489555,0.19905258704577983,0.15238881077453778,0.23435027823257729,0.2415543423618604,0.251433654882476,0.21056781378635822,0.07242152378689763,0.07481811987564484,0.04791851842239012,0.09846955177252123,0.08650496259763323,0.08159614379095008,0.10459335620557605,0.16789232431405757,0.09976686465751598,0.07326425147467919,0.1445940270485135,0.06626327689173603,0.11844317617651726,0.14803314889133684,0.12324217340178244,0.12219363164394156,0.11450002666081796,0.1565454917396676,0.07733710224462281,0.16498434706815604,0.11435291689531081,0.13305599141870422,0.14141283358207146,0.17799094504998192,0.05246030910012822,0.12192755858183002,0.05147768636772183,0.118803686279607,0.11706977614401759,0.09794789155981047,0.10138706850702103,0.0574632931131887,0.07997194792079775,0.12286410187336069,0.08251923390011029,0.08291389070760395,0.11317352957690525,0.030647741265693283,0.2002637201575959,0.12778687067692648,0.14508670830674028,0.14445258277450515,0.12516639348454903,0.15110218780003432,0.15674317024686596,0.09342515729712497,0.011017073304769687,0.013036270330610522,-0.011020510425403609,0.08229873642007966,-0.03348889889991313,0.08637101353218032,-0.0635751266344891,0.042064590302397106,0.01802507000549385,-0.015828945145606104,0.0813392795371204,0.0015157542449246483,-0.0698283708207805,0.03425605952124559,0.06706863709222109,0.05847321089666852,-0.03780958567064411,0.08134755613501937,0.1343842992214132,0.11417614561205867,0.0817757759748193,-0.035915420666103044,0.06857060132593622,0.06868812408556864,-0.02441657903329301,0.0792847725713828,0.08277864170558051,-0.014291916418475683,-0.0607874548217459,0.04804334875405998,-0.07917666160023097,-0.08046417689681243,0.03947769942717065,-0.03909980721060382,0.05098106383671576,-0.02815213362592707
P1_3,0.46313170217406496,0.41387869084987666,1.0,0.4279076115178783,0.22104338654025119,0.13694587821618107,0.1674089116203116,0.053382331908707385,0.10511966666257724,0.11689455078542194,0.12998879443699266,0.09297727592444076,0.11736751253531262,0.10045832638666893,0.15530111774919667,0.1574254763950752,0.23607403459162224,0.17746280326610198,0.20511192558971097,0.2028774738997083,0.24301794122685752,0.1829211683628006,0.2220578970955783,0.22363594009332624,0.13486147854582123,0.3214677797110589,0.24985626374642855,0.24307407814895346,0.20958524567278905,-0.019614954091187485,0.05827832387171505,0.04093357514908606,0.03813439567427358,0.051611457121611005,0.06269660702127106,0.09266565747542589,0.11990311655675054,0.08760663639212159,0.09949790967049309,0.11235397794616067,0.0872119667465258,0.10541116642716238,0.15897580569542763,0.07345461212768566,0.12330720635632701,0.09551236890504562,0.10737692064990426,0.10697386777943695,0.13229026097620109,0.1077033330426114,0.10787232142950985,0.16575041434614535,0.11480201260787525,0.0505293642122822,0.0974173021144331,0.08133968955647661,0.10977186874475306,0.07790790434249326,0.026282201106696823,0.03937515739941122,0.05098848915405508,0.05694510419011215,0.11311179158259367,0.07116017741855281,-0.0057191050445298056,0.13527741658848066,0.008112851606453968,0.1981669744173801,0.1391839001262722,0.15696617202109744,0.12167245674186533,0.11438064915707322,0.11553931852138802,0.12102392123521931,0.08197446759253213,0.011656412047148861,0.008046344228917536,-0.0031988487680108487,0.04335277229513236,-0.0314420332073344,0.05018590243455517,-0.06476171446634081,0.027815313665675134,0.011374303228244377,-0.02153514997418658,0.05127094532895554,-0.016099255653592374,-0.037991885862572385,0.04213833067492149,0.06683224815445214,0.04416417091698832,-0.031784346392337105,0.029162850434186406,0.09333682003201225,0.06585161159625516,0.03153340807483458,-0.012729851651379314,0.004551846177455146,0.040067349546228016,-0.02802005579033545,0.017350201241352566,0.042185128348484854,0.027849245107185786,-0.033986869191234156,0.019656217622378347,-0.026767724590897126,-0.061952068190576054,0.02535231662368773,-0.03767539746766852,0.02043487887408525,-0.0448762467454245
P1_4,0.49920226081281366,0.4427083088236149,0.4279076115178783,1.0,0.2504497703853741,0.10934194868889931,0.28034119186069173,0.12421593179648369,0.14117464416333456,0.10618244368397865,0.14522525956247379,0.08388901629947122,0.14065578944875906,0.11679533694476461,0.17393826303293033,0.1877025332806187,0.21676038150710322,0.19908930309105574,0.21977945559439235,0.19599781910476302,0.2100273989284354,0.1539321925677198,0.22491016869090658,0.1945438122335336,0.15034110796385974,0.2645502330402197,0.22561043472619746,0.2536055595074505,0.17928561217564104,0.01863031803281705,0.09688630913799356,0.05682774000202911,0.058882763877992426,0.11848983064253439,0.07507203654580386,0.06440128430797061,0.17945969336251288,0.07232692704311851,0.06943827901768213,0.12827735054189793,0.04730361660984753,0.05339807801850913,0.18971710762675173,0.0617000444614035,0.09716162414502567,0.08752016793769204,0.10853726490218527,0.06162762886755277,0.15605777011689612,0.10525677736807125,0.08717005378661692,0.1923689267540324,0.1475339637523296,0.03515321236184316,0.09100683732117704,0.05299340017286986,0.11136822465618934,0.103378098279385,0.024948957126999176,0.051690428018932116,0.058819080481836414,0.09541959129817876,0.12787072580682435,0.04530201151357192,0.02799901316356617,0.14840868881402022,0.013571240508367848,0.19558315760718994,0.1319766920725796,0.1503986936383912,0.1322609823358946,0.14112047273820785,0.14283712760925002,0.16151822027403642,0.049905759872258953,-0.007700087033748859,0.026426431782634933,0.005405937371620173,0.04947348580611823,-0.020929525923122305,0.02049270794580437,-0.06311127378853919,0.04566217223531327,-0.01755934644631813,-0.006042539475588828,0.07527621965312524,-0.022103065199601354,-0.024427694837897074,0.019768607169759683,0.03974229121903598,0.03765637832125176,-0.03185683934040385,0.0017543017078584372,0.14725108191156905,0.08926526402797962,0.05826874694055156,-0.02304880356919721,0.02675505502442707,0.04594619357798648,-0.02135823455501061,0.05569173288433606,0.047345144263449636,0.005521736807486511,-0.08557321847228919,0.04080787260116613,-0.09025747780282307,-0.05109712566461868,0.05081249568863766,-0.04542193065278871,0.020808731841827282,-0.04504433020904915
P2,0.2598342594165542,0.27882964617872563,0.22104338654025119,0.2504497703853741,1.0,0.09766123454735917,0.17557390780694834,0.13041538878333697,0.17124452565975104,0.07307928376447803,0.14648177804004558,0.10518920801821983,0.1380542596197076,0.16117000374640103,0.14199288681092245,0.11539897565996975,0.19424603779592953,0.18508021863750035,0.19880938151304567,0.14737780364384515,0.16649679353660765,0.16992364674075605,0.17171654203455095,0.13738114304497828,0.17771598708794065,0.18488646945901788,0.21209168012501387,0.1824326366271649,0.1604810227661785,0.05685478241734706,0.08189833796729493,0.0913439183522516,0.06054256408169016,0.10442419979190777,0.08792710629109,0.12412758039711903,0.12942195706257434,0.12702080207261554,0.013994399331378674,0.16054491327431683,0.10590491086707979,0.0954175375608257,0.11380548465933535,0.14833060898621794,0.100871397986584,0.07272276389726028,0.12354556943989979,0.021767559634345197,0.16305934514411274,0.13247117362813296,0.14546132254461866,0.10014045146194875,0.1605416562508809,0.096904797452308,0.07879063964657299,0.027299610382699922,0.09955484942697986,0.07969243974123007,0.1222430020767975,0.09998864612293636,0.05640801710630722,0.038076401804452285,0.06983675770221838,0.07226595586810618,0.0604604678184907,0.11290439632030722,0.07297997892474105,0.20322466029822847,0.1474897636048796,0.16127359373806704,0.13493442495231406,0.14197220819335646,0.13954449468300445,0.16823735057010444,0.1060872142702307,0.0330360446013421,0.03883205216310511,0.007610617823877729,0.050711943403338386,-0.005154719887433273,0.0397484806925421,-0.011655940466211713,0.08028278924958072,0.05586472417230877,0.06881426961500997,0.06441638437644696,0.022918269716831103,0.02790757261258185,0.049792368099344377,0.043385788786826814,0.016805589479475618,0.027921464991553086,0.04900196619035552,0.1148842011133972,0.12499787657990415,0.03183474711472496,-0.03750663455593617,0.06400913938429265,0.032417345244401305,-0.045862668601873394,0.06268859111654963,0.008260003753962266,-0.04116315212239296,-0.021903042313038686,0.02396224443883596,-0.050284211029934765,-0.08346796734187409,0.022745652965530463,-0.03321244336784548,0.03000591090224469,-0.009925357278517016
P3_1,0.16659585861336776,0.1817780479687971,0.13694587821618107,0.10934194868889931,0.09766123454735917,1.0,0.2879426595058039,0.32636780818854605,0.35311097061380453,0.2667387379488529,0.40488091878948707,0.41506126559283124,0.33723637917858007,0.3900986325250942,0.3756444140695313,0.23478738437873967,0.24165513742640674,0.24623877427489663,0.24090398145119174,0.13008743098183326,0.22750171117732415,0.3071359590991839,0.2563093343822257,0.1257827335092223,0.24227336343345246,0.20233758394013307,0.26151170844643223,0.17615476121852577,0.20450658628714183,0.13670550800664003,0.08513165154957203,0.12988631195448203,0.12745370257376698,0.14041525356114312,0.09635571993859106,0.26228420462720287,0.22254957199713632,0.24135614417893103,0.1035427869010702,0.2790139811518263,0.2080153103884986,0.33023679440414233,0.1744107667794465,0.25185434043011534,0.2530931773312698,0.15567978473623395,0.20127688646692954,0.09338030173478241,0.23132761429142823,0.20585627419062652,0.28970540981305165,0.16072219458766013,0.22115475870765855,0.1084198529834798,0.13372970098614975,0.10688124085105573,0.1306196893852689,0.1115069021591554,0.1506270306006728,0.15972749652219537,0.20752425412193648,0.20630643850000902,0.12921140244627877,0.19203188712497812,0.087877239461441,0.06440822012829828,0.10451385337336501,0.0779560329239362,0.13422114669219715,0.1017621432434916,0.1710836200046132,0.11369376856282709,0.14028185472887775,0.1608885549690559,0.11304435671797826,0.004146557095360055,0.11337280460902624,-0.012604170765213741,0.04031074130848988,-0.013189187694820144,-0.019914015951124204,0.0030707827747795203,0.10606712009096445,0.10852521973595272,0.08363366382945499,0.017221564597101155,0.05481936374609742,0.01756992523229157,0.028321645088357245,0.06369746854429537,0.051965746105616925,-0.02390378789950751,0.1336557699960574,0.17385239967465813,0.11764958636220817,0.047109362782704604,-0.011693578803523749,0.05618677955742942,0.10033339400039593,-0.02385635525080969,0.07409385080658726,0.03782724339433896,-0.05043000306859449,-0.027338472388996757,0.06465076916659766,-0.02432800716090975,-0.07882602403852479,0.08995200805154821,-0.033099872046327895,0.10824099109988461,-0.02448982103049881
P3_2,0.21843190660611495,0.22921330596237283,0.1674089116203116,0.28034119186069173,0.17557390780694834,0.2879426595058039,1.0,0.341550590489989,0.3550409588005036,0.20120928023600046,0.3335124980884667,0.23898943630063715,0.2817445447223297,0.3185592916379064,0.4333100096369639,0.2112852758393158,0.23073656288035235,0.19017564784948668,0.21401352347874003,0.18233407905835047,0.22145901265849252,0.18620341834385218,0.24337860534856795,0.14577228790558902,0.18915011306655705,0.2348158297889769,0.2251960582395391,0.1923628397403322,0.18621274372068258,0.10657458707923272,0.08243098116814324,0.0981626033360146,0.0858226587884608,0.14651696475080236,0.07049828585888045,0.11761454997955503,0.2957198510294997,0.16912031492822424,0.03514252922321289,0.17664360343693594,0.1385309739884286,0.11444493550606626,0.18083465311264404,0.11360504032461587,0.0913070222994913,0.15362784947349067,0.13912785982324455,0.013599185273517143,0.19336427190489275,0.16734106238281476,0.13223597552428426,0.14721312617077079,0.13546922171904643,0.055783486449959105,0.029684427864452766,0.02338148674402687,0.0739883710737788,0.04269807996931558,0.10625855751585347,0.10262465693754452,0.1660175950947197,0.20371161815600758,0.14862398686913753,0.09958471384839476,0.06024912029412715,0.14023747541848847,0.07193574937687987,0.12924082812949686,0.16197583269719235,0.16098926216057594,0.18218884260794796,0.17940323544002776,0.19350277503274294,0.12654962118275456,0.11241237310414252,-0.060784619651513605,0.04629819448891045,0.007037830375120512,0.05239600678093666,-0.07848567332403542,-0.09515592149816582,-0.03336976823287931,0.08464549890199041,0.028797400140271476,0.03495543495501127,0.04559841671649854,0.05404264703016949,-0.040103333687291756,-0.0029807772397477113,0.028267325154913914,0.029492830765419236,-0.014196679373900643,0.0741853307983855,0.1639504321753598,0.1732439413760165,0.10556129897706694,-0.07764360918620745,0.06815703037688864,0.11056058997301191,-0.10628080771072482,0.11862578211711325,0.07010813070608449,-0.0764205058949952,-0.1445509057490276,0.08339301909816516,-0.08595317922602883,-0.13661250971981642,0.11586096895410346,-0.08089992718861945,0.10441261898371504,-0.050800871247866815
P3_3,0.1406393458294406,0.11292103590277323,0.053382331908707385,0.12421593179648369,0.13041538878333697,0.32636780818854605,0.341550590489989,1.0,0.4577306548023892,0.2578935410059795,0.5159121333411264,0.3376175507328806,0.5136747423963385,0.5232766686937921,0.3632351991542284,0.18270167731213954,0.19086722718315996,0.2759615631642031,0.2741533031417718,0.1442597488721606,0.15769927650830823,0.22291835861578746,0.2023877892376322,0.1020961763846196,0.28291797280915637,0.15892730438041056,0.21053048543127575,0.14358789251068288,0.14032097915056616,0.1160845686574612,0.09265699956430533,0.14034322666652554,0.14232011385543,0.13070504180704723,0.08556921841026892,0.19879233219663403,0.1977522924812927,0.2879828829648192,0.09304036690949452,0.26358721714610195,0.3383816455383206,0.20809744666779773,0.07994574127600441,0.2645701725373415,0.15621126094310128,0.13760687365563692,0.19609656623433983,0.09128992655251073,0.20830650525948283,0.24079508556098367,0.16624390920305882,0.08432632529649647,0.20577467735182708,0.09594014658531566,0.09433841130293365,0.04585128987867769,0.0855233434086841,0.06846539176874746,0.1736520341218626,0.1325777214651613,0.2194266237883547,0.233466789813209,0.15976155928567104,0.18561839101552563,0.09923687143020174,0.05783127022501504,0.15049060727033814,0.09041083548171364,0.131105889829847,0.1158549097950796,0.12179532243319681,0.14432856699833363,0.1361752090195207,0.16345940183044289,0.11159591457587863,-0.00840064240663378,0.1323078065688635,0.03136962081970793,0.09417351544991492,0.0010550858599159873,-0.06046892800757781,-0.009765060021878227,0.14037156310900445,0.14427027472174356,0.11297333439954951,0.00039491270593056566,0.06148499720994516,0.04928475650994953,-0.009930566329321931,0.0917536497099918,0.01629569328017655,-0.018541240763178948,0.0865847754196217,0.14489668907997247,0.20076170074404084,0.07395606729844076,0.0022825998637745885,0.10592970624387422,0.12527236164914723,-0.019991953634637412,0.054432178361679365,-0.006583007401796097,-0.026124665045810496,-0.012960064670689006,0.06045021374902059,0.007382089773001684,-0.028477080606951238,0.0695581582338177,-0.015199737302693212,0.07787492380743104,0.0048141164459767315
P3_4,0.11600747451269809,0.1706818078053607,0.10511966666257724,0.14117464416333456,0.17124452565975104,0.35311097061380453,0.3550409588005036,0.4577306548023892,1.0,0.19817006571927956,0.4537266935112124,0.33302268592757933,0.3436950990380055,0.48435650713045036,0.33791106849652813,0.17181017810497207,0.21774700554891863,0.2388492403941496,0.29299674914758117,0.07193256592175926,0.15377852241353002,0.2116224896636146,0.16255861301962843,0.04396652998654771,0.28855398656703674,0.16944076694132,0.20821911367108825,0.10090585513106373,0.11551725287535104,0.17270714136529458,0.07012584951178961,0.16659418405050283,0.1623520850373973,0.11758599592628162,0.07160066230158099,0.2162161436144285,0.27778844256226637,0.31420757531153953,0.0360175748066156,0.2868544243835365,0.22704786650812167,0.22582430566779027,0.11663398083802648,0.24255428726621242,0.16844184627467326,0.20255347518412173,0.2509408921120344,0.05578303975334568,0.21725330616481195,0.19444211367265288,0.19542284149017702,0.0896613931170722,0.20190791547220793,0.1309086039677625,0.08289862115213988,0.06391074348542898,0.10005332420686548,0.08741597748753842,0.18929357756532633,0.14835077467752875,0.2389132713591675,0.2599580909497683,0.1110044922064047,0.18458351955583766,0.12321511613406301,0.06644727256503076,0.12926364369224647,0.08992928310393195,0.10494508648746638,0.101487236789032,0.15145811183114727,0.13189276743563158,0.1270604027745062,0.13994233290742816,0.1532142356614746,-0.041484573210160386,0.08471162327454872,0.027502903850519206,0.056267964488835386,-0.025852489815677768,-0.05499166324074162,-0.017884044245184992,0.13296144991814407,0.073704541468528,0.09733336527711531,0.017829175416590345,0.1021964889361759,0.03548127643060742,0.009595952480155512,0.10737898247833513,0.057669040427860266,-0.021691967648443757,0.12429513391006933,0.20108123473678793,0.19899946492662224,0.07491796422059449,-0.01295022587550997,0.09213833805282542,0.12891397719292402,-0.052877184262934245,0.07399031295600417,0.03327644869922817,-0.04655725276378691,-0.028494145836518377,0.05699037047771763,0.004944030441617915,-0.07202299769031685,0.10418660105301729,-0.031006867369329335,0.10998378095309772,-0.007667558203040787
P3_5,0.1419035066859609,0.11978897847029199,0.11689455078542194,0.10618244368397865,0.07307928376447803,0.2667387379488529,0.20120928023600046,0.2578935410059795,0.19817006571927956,1.0,0.21123699473929852,0.23724376376149792,0.3231875307162441,0.23059247762901436,0.29331651556570765,0.20869287416638405,0.21595625524894166,0.1774876671514808,0.1718351703959147,0.20198547282935547,0.2012199430298401,0.18213286963526248,0.2287221697309741,0.20538007587161375,0.13383540120982027,0.2220963787275329,0.2312743917061068,0.1978347439426163,0.22200273690635053,0.0027693969072435437,0.058195092247351476,-0.0016913975121261552,0.06384953680380373,0.09480512752051404,0.09989373486810867,0.11957166750516497,0.10942770525804726,0.15157874646830982,0.5059010607894282,0.12918558411215456,0.18037946384738077,0.1396995408634851,0.12311108445055635,0.18548438717938953,0.11862767747534038,0.06632238900866066,0.12276469012993857,0.42268818995481483,0.10833848609175553,0.1447734123943165,0.12413266179608166,0.13096324763889522,0.14911044884275362,0.05585581705725111,0.1205720177923804,0.10196100091027718,0.0762725132088747,0.06935821480507359,0.012532160584163421,0.002030963096202439,0.1316466126851361,0.10415194386704608,0.13992642460216884,0.13131938237783758,0.012455873783410636,0.03128455259328997,0.041385325508021244,0.1259665183616077,0.15717461737875246,0.13065784340327347,0.10604946988526337,0.06895923063004727,0.118197597998823,0.11154993570608036,0.012927761294687605,0.050096781569790576,0.09340490482095437,0.015890441954632954,0.02881059533196629,0.08745966297922014,0.042783230626210436,-0.004802489018172287,0.03520501898525686,0.08998783515990824,0.046845154244126434,0.007901502209160128,0.01602923797083495,0.06400384843172668,0.028730289788726077,0.032889329328984175,-0.02653764024711326,0.03640699091962677,0.030600157517864015,0.011583019978697937,0.01844787691412161,-0.007939574386621694,0.06731593516746828,0.006236976558424793,0.04038739618337798,0.06005588363567141,-0.029072877044360866,-0.011683380394124,0.06120777474132904,0.05565090970759469,-0.0005876964566431438,0.040939007182972185,0.06703572375171771,0.007953991023971037,0.034781965860908155,-0.021074651629220068,0.06086928175348103
