variable,label,prop_no_missing,n_unique
P4_1,P4_1 Destaque de Perú en Deportes,0.9878655880522713,4
P4_2,P4_2 Destaque de Perú en Desarrollo de la industria,0.9536403235843186,4
P4_3,P4_3 Destaque de Perú en Agricultura y ganadería,0.9822650902302427,4
P4_4,P4_4 Destaque de Perú en Minería,0.9564405724953329,4
P4_5,P4_5 Destaque de Perú en Salud,0.9943995021779714,4
P4_6,P4_6 Destaque de Perú en Desarrollo de tecnologías,0.9617299315494711,4
P4_7,P4_7 Destaque de Perú en Arte y cultura,0.9754200373366522,4
P4_8,P4_8 Destaque de Perú en Investigación científica,0.9346608587429994,4
P4_9,P4_9 Destaque de Perú en Educación,0.9937772246421904,4
P4_10,P4_10 Destaque de Perú en Turismo,0.985687616677038,4
P4_11,P4_11 Destaque de Perú en Medioambiente,0.984443061605476,4
P4_12,P4_12 Destaque de Perú en Energía,0.9654635967641568,4
P4_13,P4_13 Destaque de Perú en Obras públicas,0.9838207840696951,4
P4_14,P4_14 Destaque de Perú en Vivienda,0.9813316739265713,4
P5_1,P5_1 Visitó un museo de arte en el último año,0.9981331673926571,2
P5_2,P5_2 Visitó un museo de ciencia en el último año,0.9968886123210952,2
P5_3,P5_3 Visitó un zoológico o acuario en el último año,0.9975108898568762,2
P5_4,P5_4 Visitó un parque nacional o reserva natural en el último año,0.9981331673926571,2
P5_5,P5_5 Visitó un laboratorio o institución de ciencia y tecnología en el último año,0.9978220286247667,2
P5_6,P5_6 Realizó alguna actividad de la Semana Nacional de la Ciencia en el último año,0.9953329184816428,2
P6_1,P6_1 Nivel de interés en Deportes,0.9937772246421904,4
P6_2,P6_2 Nivel de interés en Política,0.992221530802738,4
P6_3,P6_3 Nivel de interés en Economía,0.9919103920348475,4
P6_4,P6_4 Nivel de interés en Religión,0.9943995021779714,4
P6_5,P6_5 Nivel de interés en Ciencia y tecnología,0.9791537025513379,4
P6_6,P6_6 Nivel de interés en Medicina y salud,0.9950217797137524,4
P6_7,P6_7 Nivel de interés en Arte y cultura,0.9897324206596142,4
P6_8,P6_8 Nivel de interés en Astrología y esoterismo,0.9620410703173615,4
P6_9,P6_9 Nivel de interés en Medioambiente y ecología,0.9906658369632856,4
P7_1,P7_1 Nivel de información en Deportes,0.9934660858743,4
P7_2,P7_2 Nivel de información en Política,0.9897324206596142,4
P7_3,P7_3 Nivel de información en Economía,0.9912881144990666,4
P7_4,P7_4 Nivel de información en Religión,0.9937772246421904,4
P7_5,P7_5 Nivel de información en Ciencia y tecnología,0.9813316739265713,4
P7_6,P7_6 Nivel de información en Medicina y salud,0.9937772246421904,4
P7_7,P7_7 Nivel de información en Arte y cultura,0.9881767268201618,4
P7_8,P7_8 Nivel de información en Astrología y esoterismo,0.9679527069072806,4
P7_9,P7_9 Nivel de información en Medioambiente y ecología,0.9891101431238333,4
P9_1,"P9_1 Mira programas o documentales de TV sobre ciencia, tecnología o naturaleza",0.9810205351586808,3
P9_2,P9_2 Lee las noticias científicas que se publican en los diarios,0.9719975108898569,3
P9_3,P9_3 Escucha programas o secciones de radio que tratan sobre temas de ciencia y tecnología,0.9657747355320473,3
P9_4,P9_4 Lee revistas de divulgación científica,0.9555071561916615,3
P9_5,P9_5 Lee libros de divulgación científica,0.9483509645301804,3
P9_6,P9_6 Usa Internet para buscar información científica,0.9667081518357187,3
P9_7,"P9_7 Usa las redes sociales para compartir o informarse sobre temas científicos . Sí selecciono la opción 1 o 2, pasar a...",0.962352209085252,3
P11,P11 Qué tan atractiva diría que es la profesión de Científico,0.9383945239576851,4
P12,P12 Qué tan gratificante diría que es la profesión de Científico,0.9054138145612943,4
P13,P13 Qué tan remunerada diría que es la profesión de Científico,0.7806471686372122,4
P14,P14 Qué tan prestigiosa diría que es la profesión de Científico,0.9144368388301183,4
P15,P15 ¿Conoce alguna institución que se dedique a hacer investigación científica y tecnológica en nuestro país?,0.9390168014934661,2
P18,P18 El Estado destina recursos económicos para financiar la investigación científica y el desarrollo tecnológico en nues...,0.8599875544492844,4
P19,P19 Dígame si está de acuerdo o en desacuerdo con la siguiente afirmación: “El Estado debe aumentar los recursos que des...,0.9088363410080896,4
P22,"P22 En su opinión, ¿nuestro país está adelantado, en un lugar intermedio, o atrasado con respecto al desarrollo de la ci...",0.9685749844430616,3
P24_1,"P24_1 Como considera que son las condiciones de Infraestructuras (edificios, laboratorios, etc.)",0.8543870566272558,4
P24_2,"P24_2 Como considera que son las condiciones de Equipamientos (materiales, máquinas, insumos, etc.)",0.8531425015556938,4
P24_3,P24_3 Como considera que son las condiciones de Salarios,0.7871810827629122,4
P24_4,P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o instituto público de investi...,0.8182949595519602,4
P24_5,P24_5 Como considera que son las condiciones de para conseguir trabajo en una empresa,0.8378967019290604,4
P25,P25 ¿Cree que en el futuro la investigación científica y el desarrollo tecnológico van a tener en el Perú un lugar muy d...,0.9237710018668326,4
P26_1,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,0.9539514623522091,10
P26_2,P26_2 La ciencia y la tecnología son responsables por la mayor parte de los problemas medioambientales que tenemos en la...,0.9368388301182328,10
