source,target,rho,abs_rho,sign,source_community,target_community,source_label,target_label
P24_1,P24_2,0.7215232774804062,0.7215232774804062,1,6,6,"P24_1 Como considera que son las condiciones de Infraestructuras (edificios, laboratorios, etc.)","P24_2 Como considera que son las condiciones de Equipamientos (materiales, máquinas, insumos, etc.)"
P9_4,P9_5,0.6520750432000292,0.6520750432000292,1,1,1,P9_4 Lee revistas de divulgación científica,P9_5 Lee libros de divulgación científica
P9_6,P9_7,0.65013230441026,0.65013230441026,1,1,1,P9_6 Usa Internet para buscar información científica,"P9_7 Usa las redes sociales para compartir o informarse sobre temas científicos . Sí selecciono la opción 1 o 2, pasar a..."
P24_4,P24_5,0.6419964740026585,0.6419964740026585,1,6,6,P24_4 Como considera que son las condiciones de para conseguir trabajo en una universidad o instituto público de investi...,P24_5 Como considera que son las condiciones de para conseguir trabajo en una empresa
P6_4,P7_4,0.623730615689604,0.623730615689604,1,5,5,P6_4 Nivel de interés en Religión,P7_4 Nivel de información en Religión
P37_3,P37_4,0.603548529521665,0.603548529521665,1,2,2,P37_3 Nivel de acuerdo con que la IA Favorece el desarrollo de la economía,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida
P26_1,P26_9,0.6032183133257895,0.6032183133257895,1,2,2,P26_1 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,P26_9 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.
P6_8,P7_8,0.5952297132245945,0.5952297132245945,1,1,1,P6_8 Nivel de interés en Astrología y esoterismo,P7_8 Nivel de información en Astrología y esoterismo
P6_1,P7_1,0.5907418681163893,0.5907418681163893,1,1,1,P6_1 Nivel de interés en Deportes,P7_1 Nivel de información en Deportes
P37_4,P37_6,0.5744285038732024,0.5744285038732024,1,2,2,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida,P37_6 Nivel de acuerdo con que la IA Será una buena compañía para nuestra vida cotidiana
P37_13,P37_15,0.5700680046085876,0.5700680046085876,1,2,2,P37_13 Nivel de acuerdo con que la IA Nos ayudará a cuidar mejor nuestra salud,P37_15 Nivel de acuerdo con que la IA Nos ayuda a tomar mejores decisiones
P37_9,P37_11,0.5689602801892452,0.5689602801892452,1,4,4,P37_9 Nivel de acuerdo con que la IA Aumentará el dominio de las máquinas sobre las personas,P37_11 Nivel de acuerdo con que la IA Hará que se pierdan más puestos de trabajo
P30_1,P30_2,0.5684501107076725,0.5684501107076725,1,2,2,P30_1 Gracias a la ciencia y la tecnología nuestros hijos van a tener más oportunidades.,P30_2 La ciencia hace que nuestro modo de vida cambie demasiado rápido.
P11,P12,0.5643044755319991,0.5643044755319991,1,6,6,P11 Qué tan atractiva diría que es la profesión de Científico,P12 Qué tan gratificante diría que es la profesión de Científico
P37_6,P37_10,0.5624796841492956,0.5624796841492956,1,2,2,P37_6 Nivel de acuerdo con que la IA Será una buena compañía para nuestra vida cotidiana,P37_10 Nivel de acuerdo con que la IA Mejora la evolución de la sociedad
P4_6,P4_8,0.5575582264540933,0.5575582264540933,1,3,3,P4_6 Destaque de Perú en Desarrollo de tecnologías,P4_8 Destaque de Perú en Investigación científica
P6_5,P7_5,0.5508068992957011,0.5508068992957011,1,1,1,P6_5 Nivel de interés en Ciencia y tecnología,P7_5 Nivel de información en Ciencia y tecnología
P37_6,P37_15,0.5491154217880002,0.5491154217880002,1,2,2,P37_6 Nivel de acuerdo con que la IA Será una buena compañía para nuestra vida cotidiana,P37_15 Nivel de acuerdo con que la IA Nos ayuda a tomar mejores decisiones
P6_7,P7_7,0.5466155438294491,0.5466155438294491,1,1,1,P6_7 Nivel de interés en Arte y cultura,P7_7 Nivel de información en Arte y cultura
P6_5,P6_9,0.5413758909483612,0.5413758909483612,1,1,1,P6_5 Nivel de interés en Ciencia y tecnología,P6_9 Nivel de interés en Medioambiente y ecología
P6_2,P7_2,0.5347472883815564,0.5347472883815564,1,1,1,P6_2 Nivel de interés en Política,P7_2 Nivel de información en Política
P7_5,P7_9,0.5321952557506242,0.5321952557506242,1,1,1,P7_5 Nivel de información en Ciencia y tecnología,P7_9 Nivel de información en Medioambiente y ecología
P37_4,P37_15,0.5296675159472657,0.5296675159472657,1,2,2,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida,P37_15 Nivel de acuerdo con que la IA Nos ayuda a tomar mejores decisiones
P37_4,P37_13,0.5244590615820955,0.5244590615820955,1,2,2,P37_4 Nivel de acuerdo con que la IA Aumentará nuestra calidad de vida,P37_13 Nivel de acuerdo con que la IA Nos ayudará a cuidar mejor nuestra salud
P4_5,P4_9,0.5239868852492829,0.5239868852492829,1,3,3,P4_5 Destaque de Perú en Salud,P4_9 Destaque de Perú en Educación
P3_3,P3_9,0.5232766686937921,0.5232766686937921,1,5,5,P3_3 Aprecio por la profesión de Médico,P3_9 Aprecio por la profesión de Ingeniero
P37_5,P37_12,0.5184487777590363,0.5184487777590363,1,4,4,P37_5 Nivel de acuerdo con que la IA Generará muchos más daños que beneficios,P37_12 Nivel de acuerdo con que la IA Creará muchos más problemas que soluciones
P3_3,P3_6,0.5159121333411264,0.5159121333411264,1,5,5,P3_3 Aprecio por la profesión de Médico,P3_6 Aprecio por la profesión de Científico
P26_9,P30_2,0.515404182625232,0.515404182625232,1,2,2,P26_9 La ciencia y la tecnología están haciendo que nuestras vidas sean más fáciles y cómodas.,P30_2 La ciencia hace que nuestro modo de vida cambie demasiado rápido.
P3_3,P3_8,0.5136747423963385,0.5136747423963385,1,5,5,P3_3 Aprecio por la profesión de Médico,P3_8 Aprecio por la profesión de Profesor
